Operation,Elements,BatchSize,TotalElements,TotalTime,TimePerRecord,TimePerBatch,TimePerTable,Function
SELECT,2000,0,1270,0.01110029,0.00000874,0.01110029,0.01110029,SELECT count average reservation time per device
SELECT,2000,0,594,0.00822306,0.00001384,0.00822306,0.00822306,SELECT count number of admins
SELECT,2000,0,2000,0.00806451,0.00000403,0.00806451,0.00806451,SELECT find users
SELECT,2000,0,2000,0.00100136,0.00000050,0.00100136,0.00100136,SELECT count problems by status
SELECT,2000,0,1077,0.01213408,0.00001127,0.01213408,0.01213408,SELECT group messages per dormitory
SELECT,2000,0,8212,0.05857992,0.00000713,0.00650888,0.00650888,All
UPDATE,2000,0,640,0.03493929,0.00005459,0.03493929,0.03493929,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.02021837,0.00001011,0.02021837,0.02021837,UPDATE reservation time
UPDATE,2000,0,1,0.00510430,0.00510430,0.00510430,0.00510430,UPDATE one message
UPDATE,2000,0,2641,0.06232166,0.00002360,0.01558042,0.01558042,All
DELETE,4000,0,38,0.13076949,0.00344130,0.13076949,0.13076949,DELETE many not in batch
DELETE,4000,0,3958,0.04035759,0.00001020,0.04035759,0.04035759,DELETE many in batch
DELETE,4000,0,3996,0.17112708,0.00004282,0.08556354,0.08556354,All
INSERT,2000,2000,16000,0.96215820,0.00006013,0.13745117,0.13745117,All
SELECT,2000,0,1256,0.01565385,0.00001246,0.01565385,0.01565385,SELECT group reservation per device
SELECT,2000,0,1256,0.01003265,0.00000799,0.01003265,0.01003265,SELECT count average reservation time per device
SELECT,2000,0,620,0.00703120,0.00001134,0.00703120,0.00703120,SELECT count number of admins
SELECT,2000,0,2000,0.00998783,0.00000499,0.00998783,0.00998783,SELECT find users
SELECT,2000,0,2000,0.00212383,0.00000106,0.00212383,0.00212383,SELECT count problems by status
SELECT,2000,0,1080,0.01023650,0.00000948,0.01023650,0.01023650,SELECT group messages per dormitory
SELECT,2000,0,8213,0.05967140,0.00000727,0.00663016,0.00663016,All
UPDATE,2000,0,671,0.03330779,0.00004964,0.03330779,0.03330779,UPDATE password and other fields when user is admin
UPDATE,2000,0,2000,0.02112985,0.00001056,0.02112985,0.02112985,UPDATE reservation time
UPDATE,2000,0,1,0.00632906,0.00632906,0.00632906,0.00632906,UPDATE one message
UPDATE,2000,0,2672,0.06376529,0.00002386,0.01594132,0.01594132,All
DELETE,4000,0,38,0.12952876,0.00340865,0.12952876,0.12952876,DELETE many not in batch
DELETE,4000,0,3958,0.03834581,0.00000969,0.03834581,0.03834581,DELETE many in batch
DELETE,4000,0,3996,0.16787457,0.00004201,0.08393729,0.08393729,All
INSERT,20000,20000,160000,3.53754735,0.00002211,0.50536391,0.50536391,All
SELECT,20000,0,12657,0.11732936,0.00000927,0.11732936,0.11732936,SELECT group reservation per device
SELECT,20000,0,12657,0.10539222,0.00000833,0.10539222,0.10539222,SELECT count average reservation time per device
SELECT,20000,0,6057,0.07285047,0.00001203,0.07285047,0.07285047,SELECT count number of admins
SELECT,20000,0,20000,0.07962608,0.00000398,0.07962608,0.07962608,SELECT find users
SELECT,20000,0,20000,0.00900126,0.00000045,0.00900126,0.00900126,SELECT count problems by status
SELECT,20000,0,10835,0.10615301,0.00000980,0.10615301,0.10615301,SELECT group messages per dormitory
SELECT,20000,0,82207,0.49757743,0.00000605,0.05528638,0.05528638,All
UPDATE,20000,0,6537,0.13544321,0.00002072,0.13544321,0.13544321,UPDATE password and other fields when user is admin
UPDATE,20000,0,20000,0.16156149,0.00000808,0.16156149,0.16156149,UPDATE reservation time
UPDATE,20000,0,1,0.00699806,0.00699806,0.00699806,0.00699806,UPDATE one message
UPDATE,20000,0,26538,0.31901193,0.00001202,0.07975298,0.07975298,All
DELETE,40000,0,398,10.22267699,0.02568512,10.22267699,10.22267699,DELETE many not in batch
DELETE,40000,0,39598,0.53861523,0.00001360,0.53861523,0.53861523,DELETE many in batch
DELETE,40000,0,39996,10.76129222,0.00026906,5.38064611,5.38064611,All
INSERT,20000,20000,160000,3.83358192,0.00002396,0.54765456,0.54765456,All
SELECT,20000,0,12650,0.11534953,0.00000912,0.11534953,0.11534953,SELECT group reservation per device
SELECT,20000,0,12650,0.10169268,0.00000804,0.10169268,0.10169268,SELECT count average reservation time per device
SELECT,20000,0,6157,0.05629730,0.00000914,0.05629730,0.05629730,SELECT count number of admins
SELECT,20000,0,20000,0.09204817,0.00000460,0.09204817,0.09204817,SELECT find users
SELECT,20000,0,20000,0.00805306,0.00000040,0.00805306,0.00805306,SELECT count problems by status
SELECT,20000,0,10857,0.11270905,0.00001038,0.11270905,0.11270905,SELECT group messages per dormitory
SELECT,20000,0,82315,0.49463892,0.00000601,0.05495988,0.05495988,All
UPDATE,20000,0,6673,0.13674664,0.00002049,0.13674664,0.13674664,UPDATE password and other fields when user is admin
UPDATE,20000,0,20000,0.15038919,0.00000752,0.15038919,0.15038919,UPDATE reservation time
UPDATE,20000,0,1,0.00715876,0.00715876,0.00715876,0.00715876,UPDATE one message
UPDATE,20000,0,26674,0.31018734,0.00001163,0.07754683,0.07754683,All
DELETE,40000,0,398,10.21855354,0.02567476,10.21855354,10.21855354,DELETE many not in batch
DELETE,40000,0,39598,0.53842902,0.00001360,0.53842902,0.53842902,DELETE many in batch
DELETE,40000,0,39996,10.75698256,0.00026895,5.37849128,5.37849128,All
INSERT,20000,20000,160000,4.35978580,0.00002725,0.62282654,0.62282654,All
SELECT,20000,0,12633,0.11560774,0.00000915,0.11560774,0.11560774,SELECT group reservation per device
SELECT,20000,0,12633,0.10081959,0.00000798,0.10081959,0.10081959,SELECT count average reservation time per device
SELECT,20000,0,6001,0.05817223,0.00000969,0.05817223,0.05817223,SELECT count number of admins
SELECT,20000,0,20000,0.10932040,0.00000547,0.10932040,0.10932040,SELECT find users
SELECT,20000,0,20000,0.00804067,0.00000040,0.00804067,0.00804067,SELECT count problems by status
SELECT,20000,0,10764,0.13715506,0.00001274,0.13715506,0.13715506,SELECT group messages per dormitory
SELECT,20000,0,82032,0.53641319,0.00000654,0.05960147,0.05960147,All
UPDATE,20000,0,6563,0.15079546,0.00002298,0.15079546,0.15079546,UPDATE password and other fields when user is admin
UPDATE,20000,0,20000,0.14200377,0.00000710,0.14200377,0.14200377,UPDATE reservation time
UPDATE,20000,0,1,0.00407600,0.00407600,0.00407600,0.00407600,UPDATE one message
UPDATE,20000,0,26564,0.31097722,0.00001171,0.07774431,0.07774431,All
DELETE,40000,0,398,10.26634979,0.02579485,10.26634979,10.26634979,DELETE many not in batch
DELETE,40000,0,39598,0.46873808,0.00001184,0.46873808,0.46873808,DELETE many in batch
DELETE,40000,0,39996,10.73508787,0.00026840,5.36754394,5.36754394,All
INSERT,20000,20000,160000,3.70189548,0.00002314,0.52884221,0.52884221,All
SELECT,20000,0,12594,0.11936998,0.00000948,0.11936998,0.11936998,SELECT group reservation per device
SELECT,20000,0,12594,0.10893965,0.00000865,0.10893965,0.10893965,SELECT count average reservation time per device
SELECT,20000,0,6078,0.05720973,0.00000941,0.05720973,0.05720973,SELECT count number of admins
SELECT,20000,0,20000,0.10403109,0.00000520,0.10403109,0.10403109,SELECT find users
SELECT,20000,0,20000,0.00818419,0.00000041,0.00818419,0.00818419,SELECT count problems by status
SELECT,20000,0,10869,0.13784647,0.00001268,0.13784647,0.13784647,SELECT group messages per dormitory
SELECT,20000,0,82136,0.54375076,0.00000662,0.06041675,0.06041675,All
UPDATE,20000,0,6567,0.13686419,0.00002084,0.13686419,0.13686419,UPDATE password and other fields when user is admin
UPDATE,20000,0,20000,0.13763404,0.00000688,0.13763404,0.13763404,UPDATE reservation time
UPDATE,20000,0,1,0.00599670,0.00599670,0.00599670,0.00599670,UPDATE one message
UPDATE,20000,0,26568,0.29549527,0.00001112,0.07387382,0.07387382,All
DELETE,40000,0,398,11.13556194,0.02797880,11.13556194,11.13556194,DELETE many not in batch
DELETE,40000,0,39598,0.46522832,0.00001175,0.46522832,0.46522832,DELETE many in batch
DELETE,40000,0,39996,11.60079026,0.00029005,5.80039513,5.80039513,All
INSERT,20000,20000,160000,3.69815755,0.00002311,0.52830822,0.52830822,All
SELECT,20000,0,12585,0.12002492,0.00000954,0.12002492,0.12002492,SELECT group reservation per device
SELECT,20000,0,12585,0.09815741,0.00000780,0.09815741,0.09815741,SELECT count average reservation time per device
SELECT,20000,0,6248,0.05560398,0.00000890,0.05560398,0.05560398,SELECT count number of admins
SELECT,20000,0,20000,0.10465431,0.00000523,0.10465431,0.10465431,SELECT find users
SELECT,20000,0,20000,0.00820255,0.00000041,0.00820255,0.00820255,SELECT count problems by status
SELECT,20000,0,10853,0.12801218,0.00001180,0.12801218,0.12801218,SELECT group messages per dormitory
SELECT,20000,0,82272,0.52179027,0.00000634,0.05797670,0.05797670,All
UPDATE,20000,0,6768,0.12917948,0.00001909,0.12917948,0.12917948,UPDATE password and other fields when user is admin
UPDATE,20000,0,20000,0.13630891,0.00000682,0.13630891,0.13630891,UPDATE reservation time
UPDATE,20000,0,1,0.00716352,0.00716352,0.00716352,0.00716352,UPDATE one message
UPDATE,20000,0,26769,0.28765392,0.00001075,0.07191348,0.07191348,All
DELETE,40000,0,398,10.38867426,0.02610220,10.38867426,10.38867426,DELETE many not in batch
DELETE,40000,0,39598,0.49377918,0.00001247,0.49377918,0.49377918,DELETE many in batch
DELETE,40000,0,39996,10.88245344,0.00027209,5.44122672,5.44122672,All
INSERT,20000,20000,160000,3.80543804,0.00002378,0.54363401,0.54363401,All
SELECT,20000,0,12671,0.11718702,0.00000925,0.11718702,0.11718702,SELECT group reservation per device
